school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,grouped_g3
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,1.4142135623730951,1.4142135623730951,0.0,yes,no,no,no,yes,yes,no,no,2.0,3,4,1.0,1.0,3,2.0,0,11,11,1
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1.0,1.4142135623730951,0.0,no,yes,no,no,no,yes,yes,no,2.23606797749979,3,3,1.0,1.0,3,1.4142135623730951,9,11,11,1
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1.0,1.4142135623730951,0.0,yes,no,no,no,yes,yes,yes,no,2.0,3,2,1.4142135623730951,1.7320508075688772,3,2.449489742783178,12,13,12,1
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1.0,1.7320508075688772,0.0,no,yes,no,yes,yes,yes,yes,yes,1.7320508075688772,2,2,1.0,1.0,5,0.0,14,14,14,1
GP,F,16,U,GT3,T,3,3,other,other,home,father,1.0,1.4142135623730951,0.0,no,yes,no,no,yes,yes,no,no,2.0,3,2,1.0,1.4142135623730951,5,0.0,11,13,13,1
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1.0,1.4142135623730951,0.0,no,yes,no,yes,yes,yes,yes,no,2.23606797749979,4,2,1.0,1.4142135623730951,5,2.449489742783178,12,12,13,1
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1.0,1.4142135623730951,0.0,no,no,no,no,yes,yes,yes,no,2.0,4,4,1.0,1.0,3,0.0,13,12,13,1
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,1.4142135623730951,1.4142135623730951,0.0,yes,yes,no,no,yes,yes,no,no,2.0,1,4,1.0,1.0,1,1.4142135623730951,10,13,13,1
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1.0,1.4142135623730951,0.0,no,yes,no,no,yes,yes,yes,no,2.0,2,2,1.0,1.0,1,0.0,15,16,17,2
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1.0,1.4142135623730951,0.0,no,yes,no,yes,yes,yes,yes,no,2.23606797749979,5,1,1.0,1.0,5,0.0,12,12,13,1
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1.0,1.4142135623730951,0.0,no,yes,no,no,yes,yes,yes,no,1.7320508075688772,3,3,1.0,1.4142135623730951,2,1.4142135623730951,14,14,14,1
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,1.7320508075688772,1.7320508075688772,0.0,no,yes,no,yes,yes,yes,yes,no,2.23606797749979,2,2,1.0,1.0,4,0.0,10,12,13,1
GP,M,15,U,LE3,T,4,4,health,services,course,father,1.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,2.0,3,3,1.0,1.7320508075688772,5,0.0,12,13,12,1
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,1.4142135623730951,1.4142135623730951,0.0,no,yes,no,no,yes,yes,yes,no,2.23606797749979,4,3,1.0,1.4142135623730951,3,0.0,12,12,13,1
GP,M,15,U,GT3,A,2,2,other,other,home,other,1.0,1.7320508075688772,0.0,no,yes,no,no,yes,yes,yes,yes,2.0,5,2,1.0,1.0,3,0.0,14,14,15,1
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,2.0,4,4,1.0,1.4142135623730951,2,2.449489742783178,17,17,17,2
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1.0,1.7320508075688772,0.0,no,yes,no,yes,yes,yes,yes,no,1.7320508075688772,2,3,1.0,1.4142135623730951,2,3.1622776601683795,13,13,14,1
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,1.7320508075688772,1.4142135623730951,0.0,yes,yes,no,yes,yes,yes,no,no,2.23606797749979,3,2,1.0,1.0,4,1.4142135623730951,13,14,14,1
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1.0,1.0,1.7320508075688772,no,yes,yes,yes,yes,yes,yes,no,2.23606797749979,5,5,1.4142135623730951,2.0,5,1.4142135623730951,8,8,7,0
GP,M,16,U,LE3,T,4,3,health,other,home,father,1.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,1.7320508075688772,1,3,1.0,1.7320508075688772,5,2.449489742783178,12,12,12,1
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1.0,1.4142135623730951,0.0,no,no,no,no,yes,yes,yes,no,2.0,4,1,1.0,1.0,1,0.0,12,13,14,1
GP,M,15,U,GT3,T,4,4,health,health,other,father,1.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,2.23606797749979,4,2,1.0,1.0,5,0.0,11,12,12,1
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1.0,1.4142135623730951,0.0,no,no,no,yes,yes,yes,yes,no,2.0,5,1,1.0,1.7320508075688772,5,0.0,12,13,14,1
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,1.4142135623730951,1.4142135623730951,0.0,no,yes,no,yes,yes,yes,yes,no,2.23606797749979,4,4,1.4142135623730951,2.0,5,1.4142135623730951,10,10,10,0
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1.0,1.7320508075688772,0.0,yes,yes,no,yes,yes,yes,yes,no,2.0,3,2,1.0,1.0,5,1.4142135623730951,10,11,10,0
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1.0,1.0,0.0,no,yes,no,no,no,yes,yes,no,1.0,2,2,1.0,1.7320508075688772,5,2.449489742783178,10,11,12,1
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,2.0,2,2,1.0,1.4142135623730951,5,2.8284271247461903,11,12,12,1
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1.0,1.0,0.0,no,no,no,no,yes,yes,yes,no,1.4142135623730951,2,4,1.4142135623730951,2.0,1,0.0,11,11,11,1
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1.0,1.4142135623730951,0.0,yes,yes,yes,yes,yes,yes,yes,no,2.23606797749979,3,3,1.0,1.0,5,1.4142135623730951,12,12,13,1
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1.0,1.4142135623730951,0.0,no,yes,yes,yes,yes,yes,yes,yes,2.0,4,5,2.23606797749979,2.23606797749979,5,2.0,12,11,12,1
