school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,grouped_g3
0,0,18,0,0,0,4,4,0,0,0,0,1.4142135623730951,1.4142135623730951,0.0,0,0,0,0,0,0,0,0,2.0,3,4,1.0,1.0,3,2.0,0,11,11,1
0,0,17,0,0,1,1,1,0,1,0,1,1.0,1.4142135623730951,0.0,1,1,0,0,1,0,1,0,2.23606797749979,3,3,1.0,1.0,3,1.4142135623730951,9,11,11,1
0,0,15,0,1,1,1,1,0,1,1,0,1.0,1.4142135623730951,0.0,0,0,0,0,0,0,1,0,2.0,3,2,1.4142135623730951,1.7320508075688772,3,2.449489742783178,12,13,12,1
0,0,15,0,0,1,4,2,1,2,2,0,1.0,1.7320508075688772,0.0,1,1,0,1,0,0,1,1,1.7320508075688772,2,2,1.0,1.0,5,0.0,14,14,14,1
0,0,16,0,0,1,3,3,2,1,2,1,1.0,1.4142135623730951,0.0,1,1,0,0,0,0,0,0,2.0,3,2,1.0,1.4142135623730951,5,0.0,11,13,13,1
0,1,16,0,1,1,4,3,3,1,3,0,1.0,1.4142135623730951,0.0,1,1,0,1,0,0,1,0,2.23606797749979,4,2,1.0,1.4142135623730951,5,2.449489742783178,12,12,13,1
0,1,16,0,1,1,2,2,2,1,2,0,1.0,1.4142135623730951,0.0,1,0,0,0,0,0,1,0,2.0,4,4,1.0,1.0,3,0.0,13,12,13,1
0,0,17,0,0,0,4,4,2,0,2,0,1.4142135623730951,1.4142135623730951,0.0,0,1,0,0,0,0,0,0,2.0,1,4,1.0,1.0,1,1.4142135623730951,10,13,13,1
0,1,15,0,1,0,3,2,3,1,2,0,1.0,1.4142135623730951,0.0,1,1,0,0,0,0,1,0,2.0,2,2,1.0,1.0,1,0.0,15,16,17,2
0,1,15,0,0,1,3,4,2,1,2,0,1.0,1.4142135623730951,0.0,1,1,0,1,0,0,1,0,2.23606797749979,5,1,1.0,1.0,5,0.0,12,12,13,1
0,0,15,0,0,1,4,4,4,3,3,0,1.0,1.4142135623730951,0.0,1,1,0,0,0,0,1,0,1.7320508075688772,3,3,1.0,1.4142135623730951,2,1.4142135623730951,14,14,14,1
0,0,15,0,0,1,2,1,3,1,3,1,1.7320508075688772,1.7320508075688772,0.0,1,1,0,1,0,0,1,0,2.23606797749979,2,2,1.0,1.0,4,0.0,10,12,13,1
0,1,15,0,1,1,4,4,1,2,0,1,1.0,1.0,0.0,1,1,0,1,0,0,1,0,2.0,3,3,1.0,1.7320508075688772,5,0.0,12,13,12,1
0,1,15,0,0,1,4,3,4,1,0,0,1.4142135623730951,1.4142135623730951,0.0,1,1,0,0,0,0,1,0,2.23606797749979,4,3,1.0,1.4142135623730951,3,0.0,12,12,13,1
0,1,15,0,0,0,2,2,2,1,2,2,1.0,1.7320508075688772,0.0,1,1,0,0,0,0,1,1,2.0,5,2,1.0,1.0,3,0.0,14,14,15,1
0,0,16,0,0,1,4,4,1,1,2,0,1.0,1.0,0.0,1,1,0,0,0,0,1,0,2.0,4,4,1.0,1.4142135623730951,2,2.449489742783178,17,17,17,2
0,0,16,0,0,1,4,4,3,2,3,0,1.0,1.7320508075688772,0.0,1,1,0,1,0,0,1,0,1.7320508075688772,2,3,1.0,1.4142135623730951,2,3.1622776601683795,13,13,14,1
0,0,16,0,0,1,3,3,2,1,3,0,1.7320508075688772,1.4142135623730951,0.0,0,1,0,1,0,0,0,0,2.23606797749979,3,2,1.0,1.0,4,1.4142135623730951,13,14,14,1
0,1,17,0,0,1,3,2,3,2,0,0,1.0,1.0,1.7320508075688772,1,1,1,1,0,0,1,0,2.23606797749979,5,5,1.4142135623730951,2.0,5,1.4142135623730951,8,8,7,0
0,1,16,0,1,1,4,3,1,1,2,1,1.0,1.0,0.0,1,0,0,1,0,0,1,0,1.7320508075688772,1,3,1.0,1.7320508075688772,5,2.449489742783178,12,12,12,1
0,1,15,0,0,1,4,3,4,1,3,0,1.0,1.4142135623730951,0.0,1,0,0,0,0,0,1,0,2.0,4,1,1.0,1.0,1,0.0,12,13,14,1
0,1,15,0,0,1,4,4,1,3,1,1,1.0,1.0,0.0,1,1,1,0,0,0,1,0,2.23606797749979,4,2,1.0,1.0,5,0.0,11,12,12,1
0,1,16,0,1,1,4,2,4,1,0,0,1.0,1.4142135623730951,0.0,1,0,0,1,0,0,1,0,2.0,5,1,1.0,1.7320508075688772,5,0.0,12,13,14,1
0,1,16,0,1,1,2,2,2,1,3,0,1.4142135623730951,1.4142135623730951,0.0,1,1,0,1,0,0,1,0,2.23606797749979,4,4,1.4142135623730951,2.0,5,1.4142135623730951,10,10,10,0
0,0,15,1,0,1,2,4,3,3,0,0,1.0,1.7320508075688772,0.0,0,1,0,1,0,0,1,0,2.0,3,2,1.0,1.0,5,1.4142135623730951,10,11,10,0
0,0,16,0,0,1,2,2,3,2,2,0,1.0,1.0,0.0,1,1,0,0,1,0,1,0,1.0,2,2,1.0,1.7320508075688772,5,2.449489742783178,10,11,12,1
0,1,15,0,0,1,2,2,2,1,2,0,1.0,1.0,0.0,1,1,0,0,0,0,1,0,2.0,2,2,1.0,1.4142135623730951,5,2.8284271247461903,11,12,12,1
0,1,15,0,0,1,4,2,1,2,1,0,1.0,1.0,0.0,1,0,0,0,0,0,1,0,1.4142135623730951,2,4,1.4142135623730951,2.0,1,0.0,11,11,11,1
0,1,16,0,1,0,3,4,3,1,2,0,1.0,1.4142135623730951,0.0,0,1,1,1,0,0,1,0,2.23606797749979,3,3,1.0,1.0,5,1.4142135623730951,12,12,13,1
0,1,16,0,0,1,4,4,4,0,2,0,1.0,1.4142135623730951,0.0,1,1,1,1,0,0,1,1,2.0,4,5,2.23606797749979,2.23606797749979,5,2.0,12,11,12,1
0,1,15,0,0,1,4,4,1,2,2,0,1.0,1.4142135623730951,0.0,1,1,1,0,1,0,1,0,2.23606797749979,4,2,1.7320508075688772,2.0,5,0.0,10,11,11,1
0,1,15,0,0,1,4,4,3,2,3,0,1.4142135623730951,1.4142135623730951,0.0,1,1,0,1,0,0,1,0,2.0,3,1,1.0,1.0,5,1.4142135623730951,15,15,15,1
0,1,15,1,0,1,4,3,4,4,0,0,1.0,1.4142135623730951,0.0,1,1,0,1,0,0,1,1,2.0,5,2,1.0,1.0,5,0.0,13,14,15,1
0,1,15,0,1,1,3,3,2,1,0,0,1.0,1.4142135623730951,0.0,1,0,0,1,1,0,1,0,2.23606797749979,3,2,1.0,1.0,2,0.0,13,12,12,1
0,1,16,0,0,1,3,2,2,1,2,0,1.0,1.0,0.0,1,1,0,0,1,0,1,0,2.23606797749979,4,3,1.0,1.0,5,2.0,12,12,12,1
0,0,15,0,0,1,2,3,2,1,1,1,1.4142135623730951,1.0,0.0,1,1,0,1,0,0,0,0,1.7320508075688772,5,1,1.0,1.0,5,2.0,11,11,11,1
0,1,15,0,1,1,4,3,4,2,2,0,1.0,1.7320508075688772,0.0,1,1,0,1,0,0,1,0,2.23606797749979,4,3,1.0,1.0,4,0.0,14,14,14,1
0,1,16,1,0,0,4,4,2,0,3,0,1.4142135623730951,1.7320508075688772,0.0,1,1,0,1,0,0,1,1,1.4142135623730951,4,3,1.0,1.0,5,2.0,13,13,13,1
0,0,15,1,0,1,3,4,3,3,0,0,1.0,1.7320508075688772,0.0,0,1,0,1,0,0,1,0,2.0,3,2,1.0,1.0,5,1.4142135623730951,11,12,12,1
0,0,15,1,0,1,2,2,0,1,3,0,1.0,1.0,0.0,0,1,0,1,0,0,0,0,2.0,3,1,1.0,1.0,2,2.8284271247461903,14,13,12,1
0,0,16,0,1,1,2,2,2,1,2,0,1.4142135623730951,1.4142135623730951,0.0,1,1,0,1,1,0,1,1,1.7320508075688772,3,3,1.0,1.4142135623730951,3,4.0,11,11,10,0
0,1,15,0,1,1,4,4,4,1,2,2,1.0,1.0,0.0,1,1,0,0,1,0,1,1,2.23606797749979,4,3,1.4142135623730951,2.0,5,2.8284271247461903,10,11,11,1
0,1,15,0,0,1,4,4,3,0,0,1,1.0,1.4142135623730951,0.0,1,1,0,1,0,0,1,0,2.0,3,3,1.0,1.0,5,0.0,14,15,15,1
0,1,15,0,0,1,2,2,3,2,0,1,1.0,1.0,0.0,0,1,0,0,0,0,1,0,2.23606797749979,4,1,1.0,1.0,1,0.0,9,10,10,0
0,0,16,0,1,1,2,2,2,4,0,1,1.4142135623730951,1.4142135623730951,1.0,0,0,0,1,0,0,1,0,2.0,3,3,1.4142135623730951,1.4142135623730951,5,3.741657386773941,10,11,11,1
0,0,15,0,1,0,4,3,2,1,0,0,1.0,1.4142135623730951,0.0,0,1,1,1,0,0,1,1,2.23606797749979,2,2,1.0,1.0,5,2.0,10,11,11,1
0,0,16,0,1,0,3,3,2,2,2,0,1.0,1.4142135623730951,0.0,1,1,0,0,0,0,1,0,1.4142135623730951,3,5,1.0,2.0,3,2.449489742783178,13,12,13,1
0,1,16,0,0,1,4,3,1,2,3,0,1.0,2.0,0.0,1,0,0,1,0,0,1,0,2.0,2,2,1.0,1.0,2,1.4142135623730951,17,17,17,2
0,1,15,0,0,1,4,2,4,1,2,0,1.0,1.4142135623730951,0.0,1,1,0,0,0,0,0,0,2.0,3,3,1.4142135623730951,1.4142135623730951,5,2.0,11,12,13,1
0,0,15,0,0,1,4,4,3,0,1,1,1.0,1.4142135623730951,0.0,0,1,0,1,1,0,1,0,2.0,4,4,1.0,1.0,3,1.4142135623730951,13,12,12,1
0,0,16,0,1,1,2,2,3,2,0,0,1.7320508075688772,1.4142135623730951,0.0,1,1,0,0,0,0,1,0,2.0,3,3,1.4142135623730951,1.7320508075688772,4,0.0,14,13,13,1
0,0,15,0,1,1,4,2,1,1,1,0,1.0,1.4142135623730951,0.0,1,1,0,0,0,0,1,0,2.0,3,3,1.0,1.0,5,0.0,16,14,16,2
0,1,15,0,1,0,4,2,1,3,1,1,1.4142135623730951,1.0,0.0,1,0,0,0,0,0,0,0,2.23606797749979,5,5,1.7320508075688772,2.0,5,2.0,10,9,9,0
0,0,15,0,0,1,4,4,3,2,0,0,1.0,1.0,0.0,0,1,0,0,0,0,1,0,1.7320508075688772,3,4,1.4142135623730951,1.7320508075688772,5,0.0,13,12,12,1
0,0,15,0,1,0,3,3,2,1,1,0,1.0,1.0,0.0,1,0,0,0,0,0,1,0,2.23606797749979,3,4,2.0,2.0,1,0.0,13,12,13,1
0,0,16,0,0,0,2,1,2,1,1,0,1.0,1.4142135623730951,0.0,1,0,0,1,0,0,1,1,2.23606797749979,3,4,1.0,1.0,2,1.4142135623730951,12,13,12,1
0,0,15,0,0,0,4,3,3,2,3,0,1.0,1.4142135623730951,0.0,1,1,0,1,0,0,1,0,2.0,3,2,1.0,1.0,1,0.0,15,14,15,1
0,1,15,0,0,1,4,4,4,3,3,0,1.0,1.4142135623730951,0.0,1,1,0,1,0,0,0,0,1.7320508075688772,2,2,1.0,1.0,5,2.8284271247461903,15,15,16,2
0,1,15,0,1,1,1,2,2,4,2,1,1.0,1.4142135623730951,0.0,0,1,0,1,0,0,1,0,2.0,3,2,1.0,1.0,5,0.0,14,13,14,1
0,0,16,0,0,1,4,2,3,1,0,0,1.0,1.4142135623730951,0.0,1,1,1,0,0,0,1,0,2.0,2,3,1.0,1.0,5,1.4142135623730951,16,15,16,2
0,0,16,1,0,1,4,4,1,0,1,0,1.0,1.4142135623730951,0.0,1,1,0,1,0,0,0,0,1.4142135623730951,4,4,1.4142135623730951,1.7320508075688772,4,0.0,17,16,16,2
0,0,16,0,0,1,1,1,3,2,0,1,2.0,1.0,0.0,0,1,0,1,1,0,1,1,2.23606797749979,5,5,2.23606797749979,2.23606797749979,5,0.0,10,10,16,2
0,0,16,0,1,1,1,2,2,2,3,1,1.0,1.4142135623730951,0.0,0,0,0,1,0,0,1,0,2.0,4,3,1.0,1.0,1,0.0,13,13,10,0
0,0,16,0,0,1,4,3,4,3,2,0,1.0,1.7320508075688772,0.0,0,1,0,1,0,0,1,0,1.7320508075688772,4,4,1.4142135623730951,2.0,4,0.0,14,13,13,1
0,0,15,0,1,1,4,3,3,2,3,1,1.0,1.4142135623730951,0.0,0,0,0,1,0,0,1,1,2.0,4,4,1.4142135623730951,2.0,2,0.0,13,12,12,1
0,0,16,0,1,1,4,3,4,2,0,0,1.7320508075688772,1.4142135623730951,0.0,1,1,0,1,0,0,1,0,2.23606797749979,4,3,1.0,1.4142135623730951,1,1.4142135623730951,16,15,16,2
0,1,15,0,0,0,4,4,2,2,3,0,1.0,2.0,0.0,1,1,0,1,1,0,1,1,1.0,3,3,2.23606797749979,2.23606797749979,3,0.0,11,12,12,1
0,0,16,0,0,1,3,1,3,1,0,0,1.0,2.0,0.0,0,1,0,0,0,0,1,0,2.0,3,3,1.0,1.4142135623730951,5,0.0,10,9,10,0
0,0,15,1,1,1,2,2,1,2,3,0,1.4142135623730951,1.4142135623730951,0.0,0,1,0,0,0,0,1,0,2.0,1,3,1.0,1.7320508075688772,4,0.0,11,10,11,1
0,0,15,1,1,1,3,1,2,1,3,1,1.4142135623730951,2.0,0.0,1,1,0,0,1,0,1,0,2.0,4,2,1.4142135623730951,1.7320508075688772,3,2.449489742783178,15,15,15,1
0,1,16,0,0,1,3,1,2,1,3,1,1.4142135623730951,2.0,0.0,1,1,0,0,0,0,1,0,2.0,3,2,1.0,1.0,5,1.4142135623730951,13,11,11,1
0,1,15,0,0,1,4,2,2,1,0,0,1.0,2.0,0.0,1,0,0,0,0,0,1,0,1.7320508075688772,3,3,1.0,1.0,3,0.0,11,9,10,0
0,0,15,1,0,1,1,1,2,1,3,0,1.0,1.4142135623730951,0.0,0,1,0,0,1,0,1,1,1.7320508075688772,3,4,1.4142135623730951,2.0,5,1.4142135623730951,13,11,11,1
0,1,16,0,0,1,3,1,2,1,3,0,1.0,1.0,0.0,1,0,0,1,0,0,0,0,2.23606797749979,3,2,1.4142135623730951,1.4142135623730951,5,0.0,13,13,14,1
0,0,16,0,0,1,3,3,2,2,2,0,1.0,1.4142135623730951,0.0,0,1,0,1,0,0,1,0,2.0,3,3,1.4142135623730951,2.0,5,2.0,11,11,11,1
0,1,15,0,0,1,4,3,4,1,2,0,1.0,1.4142135623730951,0.0,1,1,0,1,0,0,1,0,2.0,3,3,1.4142135623730951,1.7320508075688772,5,0.0,11,11,11,1
0,1,15,0,0,1,4,0,4,1,0,0,1.4142135623730951,2.0,0.0,1,0,0,1,0,0,1,0,1.7320508075688772,4,3,1.0,1.0,1,0.0,12,11,11,1
0,0,16,0,0,1,2,2,2,1,3,0,1.0,2.0,0.0,1,0,0,0,0,0,1,1,2.23606797749979,2,3,1.0,1.7320508075688772,3,1.0,13,13,13,1
0,1,17,0,0,1,2,1,2,1,2,0,1.4142135623730951,1.0,1.7320508075688772,0,1,0,1,0,1,1,0,2.0,5,1,1.0,1.0,3,0.0,9,9,10,0
0,0,16,0,0,1,3,4,0,1,0,0,1.0,1.4142135623730951,0.0,1,1,0,0,0,0,1,0,1.4142135623730951,4,3,1.0,1.4142135623730951,3,3.741657386773941,12,11,11,1
0,1,15,0,0,1,2,3,2,2,0,1,1.0,1.0,0.0,0,1,0,1,1,0,1,1,1.7320508075688772,2,2,1.0,1.7320508075688772,3,0.0,11,11,12,1
0,1,15,0,0,1,2,3,2,1,2,0,1.0,1.7320508075688772,0.0,0,0,0,0,1,0,1,0,2.23606797749979,3,2,1.0,1.4142135623730951,5,1.4142135623730951,10,9,9,0
0,0,15,0,1,1,3,2,3,1,3,0,1.0,1.4142135623730951,0.0,1,1,0,0,0,0,1,0,2.0,4,4,1.0,1.0,5,2.0,12,11,11,1
0,1,15,0,1,1,2,2,3,2,2,0,1.4142135623730951,1.4142135623730951,0.0,1,0,1,1,0,0,1,0,2.23606797749979,3,3,1.0,1.7320508075688772,4,1.4142135623730951,13,12,13,1
0,0,15,0,0,1,1,1,2,1,2,1,1.0,1.4142135623730951,0.0,1,1,0,1,1,0,1,0,2.0,3,2,1.4142135623730951,1.7320508075688772,4,1.4142135623730951,13,12,12,1
0,0,15,0,0,1,4,4,3,2,3,1,1.4142135623730951,1.4142135623730951,0.0,1,0,0,0,0,0,1,1,2.0,4,4,1.4142135623730951,1.7320508075688772,5,2.0,12,11,12,1
0,0,16,0,1,1,2,2,0,1,0,0,1.0,1.4142135623730951,0.0,1,1,0,0,0,0,0,0,2.0,3,4,1.0,1.4142135623730951,2,2.449489742783178,13,11,11,1
0,0,15,0,0,1,4,2,2,1,3,0,1.0,1.7320508075688772,0.0,1,1,0,1,0,0,1,0,2.23606797749979,3,3,1.0,1.7320508075688772,1,2.0,15,15,15,1
0,1,16,0,0,1,2,2,3,1,3,1,1.4142135623730951,1.4142135623730951,0.0,1,0,0,1,1,0,1,0,2.0,4,2,1.0,1.0,3,2.449489742783178,12,10,11,1
0,1,16,0,1,0,4,4,4,3,3,0,1.0,1.4142135623730951,0.0,1,1,0,0,0,0,0,0,2.0,1,3,1.7320508075688772,2.23606797749979,5,2.449489742783178,9,9,10,0
0,0,16,0,0,1,3,3,2,1,2,0,1.0,1.7320508075688772,0.0,1,1,0,0,0,0,1,1,2.0,3,3,1.0,1.7320508075688772,4,1.4142135623730951,9,11,11,1
0,0,15,0,0,1,4,3,3,1,3,0,1.0,1.0,0.0,1,0,0,1,0,0,1,0,2.0,5,5,1.0,1.7320508075688772,1,2.449489742783178,14,13,13,1
0,0,16,0,1,1,3,1,2,1,2,1,1.0,1.4142135623730951,0.0,0,1,0,0,0,0,0,0,1.7320508075688772,3,3,1.4142135623730951,1.7320508075688772,2,0.0,12,13,12,1
0,0,16,0,0,1,4,2,4,2,2,0,1.4142135623730951,1.4142135623730951,0.0,1,1,0,1,0,0,1,0,2.23606797749979,3,3,1.0,1.0,1,1.4142135623730951,13,14,14,1
0,1,15,0,1,1,2,2,3,3,3,0,1.0,2.0,0.0,1,1,0,1,0,0,1,0,2.0,3,4,1.0,1.0,4,1.4142135623730951,11,12,12,1
0,0,15,1,0,1,1,1,0,1,2,0,1.4142135623730951,2.0,0.0,0,1,1,1,0,0,1,0,1.7320508075688772,1,2,1.0,1.0,1,2.0,13,13,13,1
0,1,16,1,0,1,4,3,3,1,3,0,1.4142135623730951,1.0,0.0,0,1,1,1,1,0,1,0,1.7320508075688772,3,3,1.0,1.0,4,2.449489742783178,9,11,11,1
0,0,16,0,0,1,2,1,2,1,0,0,1.0,1.4142135623730951,0.0,1,1,0,0,0,0,0,1,2.0,3,5,1.0,1.0,5,0.0,13,12,12,1
0,0,16,0,0,1,4,4,2,1,3,0,1.0,1.0,0.0,1,0,0,1,1,0,1,0,2.23606797749979,3,4,1.0,1.4142135623730951,1,2.0,12,13,13,1
